timestamp,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2025-04-04 19:04:28.248569,7.0,0.0,1.0,1.0,0.0,0.0,0.0,262149.0
2025-04-04 19:04:29.248569,,,,,,,,
2025-04-04 19:04:30.248569,,,,,,,,
2025-04-04 19:04:31.248569,,,,,,,,
2025-04-04 19:04:32.248569,,,,,,,,
2025-04-04 19:04:33.248569,,,,,,,,
2025-04-04 19:04:34.248569,,,,,,,,
2025-04-04 19:04:35.248569,,,,,,,,
2025-04-04 19:04:36.248569,,,,,,,,
2025-04-04 19:04:37.248569,,,,,,,,
2025-04-04 19:04:38.248569,,,,,,,,
2025-04-04 19:04:39.248569,,,,,,,,
2025-04-04 19:04:40.248569,,,,,,,,
2025-04-04 19:04:41.248569,,,,,,,,
2025-04-04 19:04:42.248569,,,,,,,,
2025-04-04 19:04:43.248569,,,,,,,,
2025-04-04 19:04:44.248569,,,,,,,,
2025-04-04 19:04:45.248569,,,,,,,,
2025-04-04 19:04:46.248569,,,,,,,,
2025-04-04 19:04:47.248569,,,,,,,,
2025-04-04 19:04:48.248569,,,,,,,,
2025-04-04 19:04:49.248569,,,,,,,,
2025-04-04 19:04:50.248569,,,,,,,,
2025-04-04 19:04:51.248569,,,,,,,,
2025-04-04 19:04:52.248569,,,,,,,,
2025-04-04 19:04:53.248569,,,,,,,,
2025-04-04 19:04:54.248569,,,,,,,,
2025-04-04 19:04:55.248569,,,,,,,,
2025-04-04 19:04:56.248569,,,,,,,,
2025-04-04 19:04:57.248569,,,,,,,,
2025-04-04 19:04:58.248569,,,,,,,,
2025-04-04 19:04:59.248569,,,,,,,,
2025-04-04 19:05:00.248569,,,,,,,,
2025-04-04 19:05:01.248569,,,,,,,,
2025-04-04 19:05:02.248569,,,,,,,,
2025-04-04 19:05:03.248569,,,,,,,,
2025-04-04 19:05:04.248569,,,,,,,,
2025-04-04 19:05:05.248569,,,,,,,,
2025-04-04 19:05:06.248569,,,,,,,,
2025-04-04 19:05:07.248569,,,,,,,,
2025-04-04 19:05:08.248569,,,,,,,,
2025-04-04 19:05:09.248569,,,,,,,,
2025-04-04 19:05:10.248569,,,,,,,,
2025-04-04 19:05:11.248569,,,,,,,,
2025-04-04 19:05:12.248569,,,,,,,,
2025-04-04 19:05:13.248569,,,,,,,,
2025-04-04 19:05:14.248569,,,,,,,,
2025-04-04 19:05:15.248569,,,,,,,,
2025-04-04 19:05:16.248569,,,,,,,,
2025-04-04 19:05:17.248569,,,,,,,,
2025-04-04 19:05:18.248569,,,,,,,,
2025-04-04 19:05:19.248569,,,,,,,,
2025-04-04 19:05:20.248569,,,,,,,,
2025-04-04 19:05:21.248569,,,,,,,,
2025-04-04 19:05:22.248569,,,,,,,,
2025-04-04 19:05:23.248569,,,,,,,,
2025-04-04 19:05:24.248569,,,,,,,,
2025-04-04 19:05:25.248569,,,,,,,,
2025-04-04 19:05:26.248569,,,,,,,,
2025-04-04 19:05:27.248569,,,,,,,,
2025-04-04 19:05:28.248569,,,,,,,,
2025-04-04 19:05:29.248569,,,,,,,,
2025-04-04 19:05:30.248569,,,,,,,,
2025-04-04 19:05:31.248569,,,,,,,,
2025-04-04 19:05:32.248569,,,,,,,,
2025-04-04 19:05:33.248569,,,,,,,,
2025-04-04 19:05:34.248569,,,,,,,,
2025-04-04 19:05:35.248569,,,,,,,,
