"secs","attention","mytheta","mydelta","mylow_alpha","myhigh_alpha","mylow_beta","myhigh_beta"
"179","100","112520","99275","34434","59540","30510","95177"
"180","100","79506","2047872","37606","9273","58241","33017"
"181","100","41275","608746","16967","26935","28370","38165"
"182","100","466266","526618","65248","120050","128597","204904"
"183","100","262815","3101144","134122","331334","470460","149267"
"184","100","31414","784012","7703","107726","120161","169929"
"185","100","901564","2162667","436258","54896","57140","126602"
"186","100","313396","205108","61503","116721","124904","141062"
"187","100","313396","205108","61503","116721","124904","141062"
"188","100","576685","1610916","2209","42926","143208","76422"
"189","100","168783","1457593","5126","28695","8773","9135"
"190","90","31847","302146","10281","7031","3764","12284"
"191","54","120949","574095","4686","4066","4153","4834"
"192","40","40858","730174","25713","15260","20571","12580"
"193","51","27647","154734","5525","7806","8004","4543"
"194","37","117930","1287009","60414","66415","29893","19836"
"195","61","1523964","2399626","1005218","644867","877777","785450"
"196","61","523663","2172234","224570","349420","244504","199178"
"197","61","65569","489014","49021","11493","13648","11827"
"198","61","33681","572203","24525","55997","51294","40425"
"199","61","33681","572203","24525","55997","51294","40425"
"200","61","118130","1232534","22250","22153","5936","10474"
"201","77","74541","741926","17646","48126","49245","83593"
"202","77","183543","766972","34530","62328","18517","29224"
"203","77","33686","1174381","11436","3970","6976","6382"
"204","81","867118","2891422","380519","222917","162620","259813"
"205","66","94885","114704","6760","8675","3436","2685"
"206","66","165575","1461656","10285","60430","171562","626164"
"207","66","474176","520970","184344","63600","323920","405547"
"208","66","474176","520970","184344","63600","323920","405547"
"209","0","0","0","0","0","0","0"
"210","0","0","0","0","0","0","0"
"211","0","0","0","0","0","0","0"
"212","0","0","0","0","0","0","0"
"213","0","0","0","0","0","0","0"
"214","0","424918","674521","155965","120678","35608","19925"
"215","0","37168","510013","10822","8873","12021","11758"
"216","0","19975","22400","12840","8921","10027","7589"
"217","0","7091","3708","7564","22131","8504","17740"
"218","30","8385","24771","7070","7478","1529","3527"
"219","13","339527","176472","1098","22867","14354","8829"
"220","1","56868","187361","8024","14722","7019","3215"
"221","1","164550","1398252","13615","16811","5111","8511"
"222","1","68144","1872384","14596","12361","3005","3452"
"223","1","278114","572905","45827","87337","24908","20704"
"224","7","162794","1272892","4167","28407","9219","25373"
"225","16","37641","182211","5279","1233","900","4756"
"226","37","106248","1593588","22992","19993","23966","35265"
"227","37","637795","2805216","83881","125149","61113","39055"
"228","26","276610","2076923","269728","65551","40773","35766"
"229","35","47719","118883","11759","5853","3740","14562"
"230","20","59169","941171","8809","12748","4423","5135"
"231","13","137700","308203","27503","25833","8274","3933"
"232","8","183622","1451175","93184","34259","27191","11272"
"233","17","29022","969594","24007","20558","36389","34244"
"234","17","86622","784703","60361","13309","17019","9224"
"235","35","22051","422744","5651","2339","2684","2788"
"236","43","76320","326343","16542","3113","3779","7483"
"237","16","242198","605977","23925","60838","32793","14636"
"238","21","78256","240118","8877","7309","5512","7819"
"239","23","38144","867663","3893","12546","3087","5921"
"240","35","62765","54646","11943","13865","10738","18816"
"241","43","35776","827526","31472","26499","10693","9464"
"242","61","16474","12197","6289","3383","22801","10298"
"243","69","43905","704420","8501","16432","15492","15605"
"244","43","111965","203807","7606","3712","10959","2308"
"245","35","391681","735281","16248","18846","10935","19598"
"246","27","11712","41817","6672","3909","25401","4583"
"247","23","105705","228194","34503","15465","5886","22591"
"248","54","18805","9516","4622","9537","9884","12146"
"249","61","28585","22394","2269","7245","4199","2931"
"250","35","923194","1683279","34102","16832","20499","16897"
"251","23","159392","642103","93993","52418","13410","14951"
"252","4","158814","1799362","9077","18056","14142","11404"
"253","7","122457","382090","11001","4021","8383","12635"
"254","26","137778","1400300","39176","97230","58965","35156"
"255","37","141415","407828","26206","4965","24553","19347"
"256","38","302641","478815","47999","16275","26451","30123"
"257","53","43447","42137","5374","15611","8951","22148"
"258","67","13975","19849","11644","5541","12954","14942"
"259","69","50399","736385","10514","27521","28229","12365"
"260","83","42714","405889","3182","15153","4805","14748"
"261","83","42714","405889","3182","15153","4805","14748"
"262","83","42714","405889","3182","15153","4805","14748"
"263","56","145018","389715","58181","6936","15372","26923"
"264","54","25920","154203","9234","7821","3651","7790"
"265","44","82931","278153","75294","4819","6052","11770"
"266","41","118836","383105","17972","44112","13117","11554"
"267","38","33611","667933","954","1508","3469","3808"
"268","27","14312","82299","1457","1880","2065","1339"
"269","27","174255","353916","56818","8593","25825","18342"
"270","35","36165","151421","22800","8573","13600","9116"
"271","43","12785","8435","3998","3358","4667","3870"
"272","47","28558","14258","32704","10097","5747","6714"
"273","63","30028","19786","1065","11636","9402","16172"
"274","50","29552","52900","6495","3894","3725","1453"
"275","61","5031","17114","6534","1787","2146","7296"
"276","80","1243","5201","1550","5195","3038","4908"
"277","77","18626","23723","9990","8565","2090","11099"
"278","78","584489","2070942","199265","289464","88209","46499"
"279","78","3846","454149","1151","1927","478","385"
"280","78","3846","454149","1151","1927","478","385"
"281","44","53717","323145","3423","11610","5410","13817"
"282","0","0","0","0","0","0","0"
"317","0","13502","60693","20961","24653","10144","11278"
"318","34","77562","358957","10533","11224","18318","10768"
"319","30","15999","57053","5417","4407","6049","3013"
"320","54","12634","20641","4394","3963","6277","12081"
"321","56","34326","12742","6522","7221","6913","8213"
"322","63","22102","15189","7801","9686","8991","6775"
"323","67","39608","33579","2071","4208","8552","9009"
"324","67","39608","33579","2071","4208","8552","9009"
"325","38","1251525","1578591","178692","173743","212344","158605"
"326","38","158124","11778","166712","107001","42793","51707"
"327","17","98740","491457","24142","12632","10803","5890"
"328","21","44197","532674","31627","12043","24359","13598"
"329","21","44197","532674","31627","12043","24359","13598"
"330","64","11401","5935","3389","4502","2920","10269"
"331","100","5387","4260","5725","2097","4146","7017"
"332","100","9681","65935","5174","5209","6180","6084"
"333","100","4731","5694","7242","1517","3178","8401"
"334","100","7437","3129","2202","6452","6628","4606"
"335","100","2456","1964","5948","4018","4200","5136"
"336","100","9888","5264","3569","10878","2314","9650"
"337","97","6251","543","3052","2373","3441","4436"
"338","88","5184","1664","8958","6317","2608","3071"
"339","93","4373","6543","1529","5462","4449","6597"
"340","60","16420","107003","382","3113","915","951"
"341","27","89065","67019","2648","5250","17762","3911"
"342","20","47130","99608","7252","5658","13895","5224"
"343","20","47130","99608","7252","5658","13895","5224"
"344","13","323074","2283936","53646","176062","46995","98938"
"345","11","299928","1465060","49552","32339","44023","10433"
"346","23","130511","416123","7122","39386","18915","30098"
"347","26","127362","983163","43384","52212","18252","19976"
"348","17","59735","755889","75521","112356","16208","21346"
"349","24","630960","1378772","55209","68977","22321","33475"
"350","11","152859","1084050","9273","8874","8942","10905"
"351","8","427474","779096","173842","154754","83697","53011"
"352","7","195336","421789","20384","16872","7106","18183"
"353","7","195336","421789","20384","16872","7106","18183"
"354","20","3253","5886","12804","7480","4958","2652"
"355","47","6776","6501","1916","5415","4365","7207"
"356","47","40500","17012","12802","12647","6213","5617"
"357","63","24218","7381","7982","7332","12159","8883"
"358","64","8603","9560","9039","3602","2270","2582"
"359","53","7710","4164","805","8559","3056","4089"
"360","66","147148","51354","2938","18604","4741","32238"
"361","67","5055","111168","3036","1814","3450","2815"
"362","83","6094","15728","6586","3427","2499","6591"
"363","60","244089","272533","22645","18085","33964","11002"
"364","48","148461","433881","35529","19410","23419","18234"
"365","26","268128","111116","1361","9622","6661","15063"
"366","7","46640","216221","2832","4687","2347","4146"
"367","17","126236","1325662","11933","6608","3342","13969"
"368","35","7271","24203","7236","7756","6183","6599"
"369","40","29406","24197","2497","2735","2534","2744"
"370","50","8283","97454","1626","2285","2222","1978"
"371","50","8283","97454","1626","2285","2222","1978"
"372","69","23198","63007","15027","7307","9855","13899"
"373","90","139086","1126625","22673","54576","35277","66839"
"374","70","47673","1881408","31991","15436","11628","4332"
"375","0","115317","175878","26458","45688","12677","9658"
"376","51","16577","2531","7057","12670","13264","10636"
"377","47","58212","486342","3598","19864","5263","5085"
"378","56","27557","14368","3309","6096","16511","9021"
"379","80","9520","31811","7915","11877","2448","23364"
"380","84","14265","3269","12920","12354","7651","16718"
"381","77","116113","342899","9330","9966","2995","4254"
"382","63","75680","1219683","3619","63392","20911","10753"
"383","38","230954","1727128","26570","11861","28977","25358"
"384","26","567559","2813704","69032","55337","36169","115426"
"385","30","896043","1272984","330155","76656","36824","59942"
"386","27","315935","1583604","48236","12464","18481","20576"
"387","24","143360","448236","36518","36181","15724","15001"
"388","30","21746","173140","10413","2479","9935","11039"
"389","51","54260","60808","18676","3791","6753","20802"
"390","67","53759","1155770","4756","9407","3760","15759"
"391","96","10363","7867","4278","10540","26647","25504"
"392","100","31479","7365","2234","9430","11303","23402"
"393","100","68443","354370","19071","2885","16379","53104"
"394","100","68443","354370","19071","2885","16379","53104"
"395","100","95283","75528","27805","13010","7943","52324"
"396","100","15343","22675","23770","5926","8657","28932"
