timestamp,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
11:10.2,87334,31148,67895,40288,23889,12416,3824,275973
11:11.2,80843,42925,15398,12994,6436,4905,2158,271877
11:12.3,893619,230225,354057,53602,242640,45958,25430,271877
11:13.2,28343,7360,7821,8343,10439,5465,4243,274949
11:14.2,150840,55282,55621,26810,16361,21963,4341,273413
11:15.2,1974294,81364,112483,126928,59204,37712,10617,272389
11:16.2,237194,90635,34350,63851,19634,8321,5427,269573
11:17.2,14281,9410,9610,8959,8060,2151,1213,269061
11:18.2,101271,87204,89041,129351,82180,9136,4255,273157
11:19.3,440534,347166,220133,96363,118716,68383,13785,276485
11:20.3,60460,10821,12256,2032,5545,2425,1221,276741
11:21.2,149813,150573,86897,26069,52068,44343,7100,275717
11:22.2,273015,245599,19393,45649,62111,9565,3403,273413
11:23.2,83581,4269,3579,5400,5210,1452,1356,271877
11:24.2,141559,62525,30337,38173,59642,9745,5033,275205
11:25.2,462585,14595,28544,167059,107490,18649,3271,275973
11:26.2,108459,83015,39510,19195,52747,22572,7021,277509
11:27.2,23805,3322,4271,3543,1801,583,488,277509
11:28.2,63616,22410,61917,54271,77815,14695,5264,279045
11:29.2,268805,50681,28485,37700,68792,11068,2263,279045
11:30.3,44854,991,5313,7087,5804,940,315,277765
11:31.2,826171,113169,49201,246542,140567,86171,11281,279813
11:32.2,46264,5460,2910,11955,11718,4323,1617,277765
11:33.2,170204,74302,55272,48016,22047,5228,5604,275205
11:34.2,31982,7169,5576,2161,3747,601,265,274437
11:35.2,132909,84924,33577,14646,63451,12422,2232,275973
11:36.3,201683,113290,45234,112355,93018,21178,7722,276485
11:37.3,687484,92566,25966,32821,45698,16757,7356,275973
11:38.2,136648,15751,18358,42150,37810,2697,662,278277
11:39.2,143167,34352,117975,38751,73021,18619,2604,278277
11:40.2,239285,956,27741,46399,48968,4092,8121,276741
11:41.2,39187,7810,9145,23896,20631,3695,811,281349
11:42.2,65403,14249,24985,5261,7034,7648,1320,278533
11:43.2,249473,26591,14538,42581,27687,14036,5446,276485
11:44.3,57781,7448,5304,7146,4010,1480,1493,274181
11:45.2,376486,146657,220775,47750,125834,55062,39461,272389
11:46.2,224282,98336,38354,48410,59678,28648,15156,274437
11:47.2,42537,57054,58285,76243,77791,9517,6654,278277
11:48.2,26697,50487,11830,11901,62508,20019,3726,284421
11:49.2,903799,133102,98842,475929,116436,74618,19635,282885
11:50.2,352119,163075,80990,46389,23255,9800,5665,279301
11:51.2,180011,30484,13815,26559,11300,7978,18727,274437
11:52.3,30034,23370,9531,2749,6529,1434,3894,269061
11:53.2,55718,41410,19492,11391,6680,2369,1766,268037
11:54.2,270194,191427,25624,135644,42997,4076,1649,269829
11:55.3,174080,43143,47085,40543,99855,12895,6076,274437
11:56.2,225882,83944,36898,37193,81877,13168,9134,276485
11:57.2,116468,13115,53779,53600,27684,16644,4015,278533
11:58.2,59646,15334,25554,23641,10033,6538,1713,279045
11:59.2,151185,45377,21266,21478,12100,5119,3269,274437
12:00.2,2606,1635,391,2497,6305,1290,584,278277
12:01.2,69553,11783,25290,32130,14708,7237,3053,277765
12:02.3,31101,58691,13975,27696,23332,4838,3384,279301
